qrName,hostname,scanLimit,url
DB&T,,,https://medsgh.com/dbt
Madina Estate,,,https://medsgh.com/madina
Gapec,,,https://medsgh.com/gapec
Burma Camp,,,https://medsgh.com/burmacamp
Jennich,,,https://medsgh.com/jennich
Chamalt,,,https://medsgh.com/chamalt
Pillmart,,,https://medsgh.com/pillmart
Rock Chem,,,https://medsgh.com/rockchem
Rock Wholesale,,,https://medsgh.com/rockwholesale
Aidpoint Exhibition,,,https://medsgh.com/aidpoint
Aid Point Exhibition Down,,,https://medsgh.com/aidpoint2
Aid Point Weija,,,https://medsgh.com/aidpoint3
Pill Check,,,https://medsgh.com/pillchek
Upcare,,,https://medsgh.com/upcare
CareNova,,,https://medsgh.com/carenova
Glomax ,,,https://medsgh.com/glomax
Glomax new,,,https://medsgh.com/glomaxb
Winstin,,,https://medsgh.com/glomaxb
RABS,,,https://medsgh.com/rabs
csallot,,,https://medsgh.com/csallot
m&E,,,https://medsgh.com/me
Meditab,,,https://medsgh.com/meditab
llyods,,,https://medsgh.com/llyods
ninnat,,,https://medsgh.com/ninnat
meraki,,,https://medsgh.com/meraki
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
